lines_of_code,cyclomatic_complexity,number_of_functions,number_of_parameters,nested_depth,if_statement_count,loop_count,imports_count,dependency_count,duplicate_code_score,exception_handling_count,database_queries,external_api_calls,cpu_usage,memory_usage,average_response_time,test_coverage,historical_bug_count,api_failure
2033,58,38,59,6,19,22,21,18,0.266,2,9,5,71.84,1450.66,4978.68,40.06,27,1
4453,32,2,145,4,59,16,6,7,0.378,16,18,6,35.74,99.21,3918.42,84.56,45,0
1409,60,6,55,4,47,0,14,5,0.161,7,20,3,55.05,265.01,4301.49,37.71,3,1
3586,58,46,30,8,29,22,16,3,0.013,10,4,0,26.41,1596.55,4611.51,64.88,7,0
4722,56,50,100,7,43,26,3,29,0.232,19,6,3,17.26,1671.01,3328.35,20.35,48,1
185,28,38,58,1,8,24,9,6,0.296,17,19,7,28.83,1226.35,888.12,9.07,32,0
1587,1,88,123,6,44,31,47,13,0.451,15,10,11,24.19,1204.68,3795.05,4.04,2,0
748,42,18,129,8,48,18,21,26,0.755,12,15,12,43.14,1543.02,87.9,41.56,48,1
2063,48,27,96,3,16,23,30,12,0.758,8,12,7,71.19,1858.67,575.02,16.35,19,1
4217,40,41,166,9,35,2,30,20,0.056,18,3,13,53.09,880.97,157.63,99.35,34,0
3516,63,72,188,10,13,11,42,4,0.492,6,15,1,58.26,263.48,685.87,79.84,38,0
798,76,92,106,2,18,34,42,8,0.034,16,12,14,45.19,1723.42,3762.5,69.34,42,0
233,72,74,190,6,6,14,32,28,0.518,7,0,6,31.52,720.75,4428.55,80.33,46,0
3782,4,17,17,1,58,16,23,2,0.094,7,21,12,14.49,301.71,1401.41,26.27,6,0
1596,38,62,144,11,2,31,3,9,0.757,2,3,0,34.33,1271.07,604.44,87.93,26,0
2468,27,29,166,2,32,6,1,14,0.691,15,14,1,63.53,1197.42,1372.07,99.56,4,0
2956,9,58,70,5,43,18,3,19,0.018,11,20,13,69.98,988.08,3239.1,28.99,48,0
3137,16,70,105,1,31,6,37,20,0.626,14,24,7,45.1,1765.35,1757.51,98.46,36,0
611,56,78,53,8,46,4,7,16,0.509,3,15,10,61.63,580.81,4806.12,32.04,0,0
2740,76,22,93,1,10,39,3,22,0.396,6,3,9,20.79,58.68,663.58,1.17,21,1
733,31,6,75,9,41,20,36,23,0.482,10,16,14,81.85,684.11,4951.81,36.72,6,1
955,14,26,34,10,1,6,49,5,0.543,4,10,12,82.4,51.57,72.13,99.75,48,0
4357,25,39,10,11,25,36,3,24,0.708,12,24,12,31.11,1127.88,2263.95,63.52,7,1
21,34,12,60,3,3,22,4,2,0.614,10,4,3,52.48,794.55,1266.54,69.55,43,0
2868,67,99,43,2,16,10,31,17,0.46,4,12,13,58.03,1672.91,2835.76,23.83,29,1
4064,24,14,120,1,16,9,2,4,0.66,7,11,2,45.41,1639.93,491.79,14.59,27,0
1969,73,22,67,9,27,20,14,12,0.79,16,22,13,86.65,908.23,4380.36,88.55,25,1
937,26,51,24,4,29,32,37,24,0.24,10,2,1,70.53,468.43,691.27,41.34,33,0
3194,20,23,175,1,39,19,31,26,0.095,18,3,10,64.22,883.62,2941.07,0.41,48,1
2261,64,48,159,1,22,32,2,0,0.585,17,9,5,49.89,1324.9,176.4,29.42,31,0
109,10,71,83,7,45,39,31,16,0.783,9,8,3,8.98,415.46,1561.85,19.57,21,0
1729,67,50,113,2,23,34,47,25,0.093,4,9,2,11.14,1590.46,757.12,60.38,19,0
2189,24,89,131,7,28,33,43,2,0.345,0,12,2,29.11,698.41,4889.45,75.61,13,0
4258,5,13,165,7,3,35,22,25,0.05,16,0,9,20.88,1911.27,69.99,49.75,22,0
3061,67,85,190,10,37,26,10,18,0.621,16,11,2,90.54,1063.93,1768.45,18.59,2,1
125,58,10,174,9,28,18,30,20,0.759,0,10,11,39.52,1739.81,1520.85,5.8,18,1
906,27,55,0,7,18,4,33,19,0.399,0,20,7,83.4,1273.64,3290.29,31.35,13,0
447,15,9,130,1,26,28,19,21,0.328,8,7,8,77.9,1150.08,291.33,80.6,39,0
1915,35,79,85,8,28,9,46,11,0.726,3,22,8,77.38,1407.17,4054.98,41.95,38,0
336,76,52,61,8,55,39,25,7,0.107,8,13,4,21.28,1667.97,2337.95,25.23,36,0
654,53,2,63,4,35,12,46,7,0.713,13,13,0,43.05,1331.33,2269.34,2.07,34,1
1945,44,25,144,8,34,28,1,14,0.314,14,19,9,30.89,1639.24,1141.68,49.61,0,0
2076,26,13,125,4,51,4,32,10,0.448,15,22,4,92.22,415.98,2455.33,68.48,18,0
3164,47,98,104,8,5,11,25,19,0.423,15,16,0,83.41,591.47,1825.83,19.03,14,0
2290,34,51,61,5,58,12,41,0,0.493,12,21,8,24.49,495.12,1233.23,53.72,24,0
1459,50,58,34,4,22,21,17,28,0.754,13,24,12,30.47,1641.38,851.65,42.07,0,0
572,12,34,12,6,38,39,14,15,0.761,8,18,9,50.72,205.64,3644.39,70.39,30,0
735,4,35,162,2,45,14,45,29,0.665,8,19,12,27.19,1636.46,718.79,86.06,36,0
3931,48,3,42,2,43,12,13,13,0.153,3,23,14,78.51,816.31,848.23,30.7,42,1
1733,55,59,129,2,47,0,38,6,0.267,9,20,7,78.01,192.29,2889.59,90.48,45,0
3409,1,70,183,9,51,37,39,5,0.39,2,20,6,69.09,887.64,1138.13,70.7,21,0
1127,66,48,110,10,7,0,2,20,0.724,8,16,1,65.8,637.81,2302.29,3.72,49,1
4226,30,64,127,3,54,10,32,3,0.417,18,5,1,52.45,1225.38,2769.06,79.12,19,0
270,3,19,50,10,1,39,32,21,0.782,15,13,13,33.63,984.61,1379.4,49.46,40,0
2450,21,67,181,4,12,21,40,7,0.787,15,17,3,79.67,630.3,1724.34,94.55,46,0
2074,49,82,143,10,39,34,6,21,0.479,16,16,8,81.73,1770.33,1058.93,32.36,42,1
478,62,73,145,8,56,5,25,18,0.702,17,5,13,5.65,852.15,2307.52,59.12,4,0
227,38,76,134,4,20,27,3,24,0.799,9,4,8,38.47,980.91,4962.08,95.61,14,0
919,15,5,44,11,30,30,18,2,0.68,18,12,13,3.5,1738.8,1819.93,27.12,1,0
3481,52,67,163,10,51,7,38,3,0.526,14,15,7,79.91,211.54,3270.12,47.2,11,0
3405,79,11,168,10,47,4,43,12,0.676,14,20,10,17.65,818.02,3183.11,75.25,6,1
41,46,94,41,7,35,16,3,20,0.066,10,8,14,64.34,844.16,3934.54,69.11,1,0
429,25,68,134,5,47,37,48,26,0.508,7,11,4,34.59,1031.58,3562.47,83.87,7,0
914,21,69,14,9,51,8,5,1,0.173,15,9,13,77.71,245.94,68.78,51.98,8,0
534,5,1,59,4,37,9,24,10,0.093,9,12,6,48.91,238.96,1552.99,31.89,26,0
4924,70,91,39,3,26,19,34,15,0.714,8,18,11,31.49,871.49,4352.47,53.51,27,1
4989,47,92,164,2,35,13,47,9,0.512,14,15,8,31.44,98.59,2702.36,35.0,36,0
4129,68,63,193,1,47,13,48,14,0.195,4,16,2,31.73,546.05,530.08,17.64,14,1
2154,18,29,111,11,22,25,39,26,0.309,19,15,3,75.13,437.57,1387.92,55.5,18,0
3615,21,82,182,6,54,28,48,9,0.779,1,13,1,67.84,1018.6,1424.1,4.84,29,0
2976,23,12,76,10,20,26,24,1,0.69,15,15,8,31.01,54.5,4367.15,3.66,12,1
1580,64,77,104,2,12,24,36,5,0.012,17,23,6,47.08,1394.28,2771.47,6.46,44,1
1286,67,41,106,8,36,15,28,13,0.784,15,14,5,8.16,1756.86,3045.53,67.26,5,0
2189,40,2,121,6,46,35,48,1,0.295,4,11,4,78.79,1456.79,1841.65,40.7,29,1
3658,10,37,79,5,25,33,49,9,0.556,0,4,11,26.0,1681.25,310.95,49.41,0,0
769,52,45,124,2,39,15,34,16,0.57,18,10,6,84.59,1328.93,385.49,34.34,41,0
3447,72,80,183,7,6,32,16,7,0.729,9,4,2,57.1,1054.85,2107.71,25.36,37,1
4800,75,48,171,2,45,2,36,25,0.708,12,23,4,54.38,473.55,895.69,35.83,24,1
1947,61,24,184,5,38,22,7,15,0.225,10,23,1,16.3,595.73,530.27,19.34,34,1
3824,64,99,133,2,21,10,18,13,0.515,14,10,4,7.54,672.5,1318.6,67.88,25,0
3722,5,22,31,11,38,17,6,9,0.315,1,1,6,52.95,108.64,3712.81,10.17,12,0
2376,53,11,107,10,22,28,28,12,0.42,5,18,14,44.99,1872.79,374.36,51.69,18,1
4810,55,58,113,11,57,4,39,0,0.444,10,16,10,12.25,1847.01,2246.65,47.68,9,1
2355,37,46,145,11,29,23,34,9,0.317,14,18,9,79.55,249.28,4132.17,30.19,44,1
326,56,29,67,2,17,28,41,29,0.371,8,11,10,40.22,1154.29,1346.94,10.23,6,0
3685,59,35,126,7,41,28,29,21,0.167,11,19,6,25.48,974.76,1516.35,70.34,14,0
2009,69,15,134,9,17,25,4,11,0.486,3,22,8,75.1,1409.76,4422.19,56.95,22,1
681,73,60,113,5,45,39,14,29,0.607,13,24,2,86.83,1247.68,3253.52,80.95,35,0
4664,59,95,7,7,9,2,5,16,0.344,2,4,7,29.76,282.63,3990.58,23.55,42,1
331,2,42,63,4,38,1,25,23,0.782,16,11,4,73.94,1362.72,1453.13,79.16,30,0
2940,65,43,134,2,29,24,39,13,0.046,12,15,6,62.34,1259.49,4983.93,29.19,7,1
1102,60,80,40,3,25,18,8,4,0.471,7,0,0,94.03,1102.95,713.07,11.26,29,0
2991,51,74,39,2,6,39,15,18,0.467,11,1,0,20.18,843.25,4810.07,13.49,33,0
774,30,49,2,5,6,1,19,4,0.029,11,9,3,91.3,1957.12,4511.47,22.11,32,0
4150,11,64,144,6,4,18,11,14,0.18,11,1,4,30.64,1744.47,2763.95,68.24,0,0
4560,76,32,193,7,0,0,20,12,0.724,1,24,12,39.72,1211.53,2930.63,24.4,15,1
372,39,64,109,3,45,26,36,16,0.436,9,9,9,34.73,44.86,3877.49,60.39,49,0
922,77,2,113,4,17,34,18,0,0.349,8,22,2,26.23,903.16,1540.84,25.65,10,1
3908,72,24,111,8,12,4,14,27,0.332,0,17,5,66.16,1443.88,2642.07,36.52,26,1
178,63,87,179,4,24,37,38,13,0.711,3,0,2,56.38,268.47,4512.86,88.97,21,0
1997,64,66,149,7,39,3,25,3,0.294,13,4,4,29.74,851.6,350.56,50.04,39,0
976,61,38,3,6,7,16,16,24,0.687,15,11,10,13.43,418.52,4528.59,60.03,18,0
2091,54,31,133,7,9,20,18,29,0.247,17,16,12,30.83,713.7,3646.6,18.93,43,1
423,73,26,165,1,31,30,1,8,0.425,1,24,14,36.84,85.77,3851.53,13.15,5,0
4631,58,29,25,3,16,21,40,16,0.115,5,18,0,36.78,287.49,332.94,41.32,47,1
2799,56,67,138,6,37,10,1,2,0.66,2,17,2,34.58,948.79,946.91,85.54,39,0
1407,34,78,16,3,14,33,1,12,0.589,19,12,6,5.58,1842.75,4627.06,24.09,38,0
3473,31,25,91,7,14,14,21,11,0.424,18,21,2,44.62,1021.01,629.02,62.17,19,0
975,52,48,30,9,56,9,25,15,0.021,12,2,4,79.6,945.4,3159.6,87.21,2,0
1732,76,65,162,3,47,37,27,3,0.385,16,20,6,17.95,1619.74,3915.64,93.44,0,0
4723,1,53,143,1,39,31,10,17,0.18,13,9,12,14.69,571.95,1164.1,99.38,22,0
1293,55,67,106,10,50,30,12,22,0.331,10,13,1,45.35,223.66,3496.96,76.3,37,0
3831,22,90,145,6,19,36,28,2,0.685,15,7,2,35.84,454.5,337.23,7.5,2,0
2645,40,18,110,1,14,27,49,16,0.616,10,9,3,53.76,1627.26,2498.85,87.15,33,0
2402,1,9,100,1,34,30,32,0,0.194,17,1,4,90.02,1396.93,1678.82,88.56,16,0
1461,65,38,111,8,5,5,33,18,0.788,1,12,11,72.52,216.53,3232.25,55.73,47,1
2999,63,87,61,9,29,13,8,21,0.723,7,4,8,65.58,1376.86,4446.13,6.74,26,1
1817,54,21,111,2,56,22,42,3,0.423,13,10,8,40.1,1910.01,636.2,47.67,38,1
4410,42,65,154,9,7,15,26,16,0.424,1,23,3,28.01,122.63,2257.04,21.07,22,0
4029,21,21,162,5,30,24,42,6,0.721,12,0,13,51.78,1274.7,2121.74,44.21,37,1
4870,79,27,115,8,47,38,41,1,0.509,9,9,8,84.23,796.4,1625.74,72.41,10,1
1414,22,70,172,7,46,1,2,11,0.429,7,12,3,83.41,1042.08,2406.03,66.76,14,0
4301,38,44,34,7,31,37,35,4,0.599,6,3,1,42.88,1096.81,4404.84,78.0,25,1
1289,8,28,27,4,44,38,34,15,0.188,12,20,9,24.14,1586.43,4868.57,47.65,10,0
4752,62,45,102,2,57,33,6,7,0.703,18,9,0,22.18,1154.94,24.19,51.08,6,0
3734,47,17,124,5,51,39,31,22,0.425,14,11,6,4.19,1227.66,3697.77,93.57,46,1
549,17,40,101,11,14,24,23,26,0.483,1,13,3,80.21,703.15,3079.26,63.12,47,0
3643,17,3,136,11,17,35,12,27,0.072,4,2,11,25.89,285.91,4972.62,74.75,7,0
2978,13,76,142,3,12,15,28,7,0.248,18,1,7,34.75,1408.39,458.76,66.45,4,0
2934,17,76,20,9,23,17,15,12,0.341,0,18,7,77.07,32.97,4058.62,64.05,16,0
4909,38,66,51,6,39,12,19,25,0.331,6,10,11,12.28,694.69,4670.3,91.35,22,0
3611,78,46,162,1,13,36,12,13,0.623,17,20,7,44.36,471.58,4561.46,35.65,1,1
2167,45,86,96,3,27,26,48,10,0.226,0,6,5,12.5,815.28,2807.26,42.77,26,0
4593,6,87,50,4,10,33,2,5,0.146,0,17,8,42.53,659.52,1644.51,37.98,20,0
3389,35,30,82,9,5,10,11,15,0.466,6,13,13,5.43,1451.7,3203.12,76.52,6,0
959,14,69,54,11,55,0,44,22,0.492,16,6,3,49.66,556.58,1537.3,86.84,37,0
545,72,9,76,6,24,12,37,24,0.097,5,21,4,75.8,1162.47,2067.22,35.75,25,1
21,61,85,126,4,0,29,38,21,0.002,19,6,3,64.57,950.83,2234.17,14.23,29,0
394,15,11,171,1,24,4,25,24,0.734,11,22,4,48.86,1646.93,1516.73,49.41,11,0
2360,54,69,192,8,1,17,43,14,0.064,19,8,1,78.9,895.03,1715.72,98.43,47,0
4025,27,99,92,11,31,13,21,15,0.718,14,22,4,22.41,1773.57,46.49,20.37,10,0
3072,13,91,87,2,12,12,42,12,0.319,12,11,9,79.09,32.29,1492.42,45.2,16,0
4668,31,66,79,11,32,31,36,11,0.522,11,5,7,26.98,1251.35,2366.8,27.14,9,0
2385,35,88,152,11,31,6,9,17,0.148,1,23,8,35.07,51.77,873.31,92.27,47,0
1545,60,31,91,8,55,7,12,28,0.659,17,6,6,13.07,1471.29,4029.87,55.09,15,1
4496,6,33,46,6,23,6,10,17,0.144,3,21,6,10.56,505.6,2692.81,57.87,14,0
1666,69,39,183,8,26,15,46,13,0.309,9,3,13,88.62,798.04,3971.46,0.83,14,1
33,58,94,37,6,3,30,5,1,0.19,10,15,5,18.86,798.96,649.24,65.28,19,0
4619,49,46,138,5,23,26,33,21,0.67,5,6,1,32.33,1738.39,4104.35,30.64,3,1
2298,23,37,194,5,22,32,5,1,0.687,5,7,9,50.74,237.82,4791.73,51.34,31,0
3175,34,92,14,10,28,28,16,2,0.298,8,7,11,33.7,1376.46,1768.75,53.11,21,0
149,26,60,0,10,33,7,37,28,0.246,19,19,10,82.79,2010.21,1426.92,59.22,34,0
3834,47,31,134,11,20,32,37,23,0.619,12,24,9,85.67,77.13,3237.69,82.35,13,1
4953,5,11,0,8,29,18,29,7,0.703,4,2,12,31.64,1979.24,3183.21,29.89,29,0
3236,20,87,48,7,25,20,18,10,0.499,5,8,8,9.65,69.1,571.22,25.62,30,0
2958,6,2,95,8,19,20,29,11,0.742,3,18,13,20.75,1727.76,4634.53,79.58,9,0
3948,70,27,156,8,15,24,6,3,0.306,5,12,4,45.59,1969.87,2400.49,71.87,5,1
2060,59,99,25,7,2,22,18,8,0.122,17,6,5,28.12,2033.94,3824.44,22.56,26,0
47,64,2,86,2,48,10,32,23,0.144,12,19,0,43.63,957.59,1803.0,0.08,10,0
2133,18,21,172,11,36,32,42,16,0.536,2,20,4,72.32,1779.79,1315.07,66.59,35,1
1272,4,58,92,9,57,19,47,23,0.326,9,14,5,40.54,278.64,565.25,15.72,9,0
4376,17,5,101,7,39,24,31,15,0.125,3,18,9,19.52,889.57,1379.85,95.7,15,0
2066,14,52,70,11,43,25,11,16,0.234,14,1,10,34.65,652.88,4967.22,60.44,23,0
4575,78,45,139,6,24,39,26,14,0.424,11,11,1,70.84,828.68,3293.22,84.97,20,1
4043,13,85,94,9,22,11,28,19,0.097,14,7,6,40.86,1447.19,4015.88,80.56,39,0
4416,7,93,159,1,43,31,27,25,0.003,9,22,13,24.46,208.36,4792.96,55.78,40,0
3394,44,20,117,11,58,32,19,21,0.734,11,22,3,41.18,2044.3,404.17,43.84,35,1
3486,15,61,147,2,0,9,45,6,0.244,7,7,4,43.75,1312.3,831.83,49.68,48,0
3101,19,38,118,1,32,3,27,9,0.177,2,12,2,28.86,1793.01,4640.55,80.3,41,0
3798,63,20,50,10,14,14,20,28,0.559,6,0,4,94.59,1704.67,2827.12,64.05,44,1
649,35,25,80,3,16,5,3,3,0.683,17,23,11,73.16,1576.25,3177.9,20.57,22,0
289,35,2,35,11,33,26,16,23,0.506,2,9,3,66.09,111.07,2143.9,60.94,20,1
2659,19,32,66,5,16,4,39,23,0.204,14,20,11,81.36,1073.2,4074.0,40.47,31,0
2013,20,26,128,1,51,4,44,13,0.689,1,23,13,63.64,693.55,2591.05,6.13,16,0
2911,35,70,113,4,57,17,29,13,0.408,14,8,9,75.35,259.69,4132.39,38.13,16,0
4977,32,41,154,8,40,27,15,13,0.305,12,1,5,39.78,723.47,4961.01,22.76,20,1
3452,48,67,110,6,43,34,30,24,0.484,19,18,1,48.03,1331.92,3237.17,83.86,3,0
1300,44,97,167,1,3,21,40,13,0.56,9,21,2,5.42,496.94,2648.78,10.5,22,0
2380,24,1,141,1,12,33,49,21,0.475,7,24,11,27.38,928.3,1832.14,36.06,24,0
595,61,51,99,3,3,3,1,19,0.736,15,13,14,35.59,847.46,981.54,69.55,31,0
1327,17,5,196,10,6,17,29,17,0.502,15,9,9,59.79,137.77,3286.72,89.74,5,0
3212,71,13,108,8,45,25,30,14,0.703,1,9,0,44.64,1298.21,322.56,33.53,13,1
3198,50,19,119,11,58,21,40,22,0.47,8,7,6,58.14,1279.6,4781.88,60.64,40,1
2754,65,12,78,11,8,32,46,25,0.264,7,13,8,68.05,1980.29,3241.3,37.36,37,1
2232,32,48,133,8,22,13,32,18,0.426,10,12,1,5.02,632.78,4797.22,20.29,41,0
2372,36,25,160,3,32,30,10,26,0.069,0,5,6,25.28,876.61,1368.65,32.57,37,0
3588,13,57,182,7,32,9,27,12,0.184,10,20,14,17.06,845.73,4733.11,63.59,40,0
1675,70,35,18,3,19,23,8,11,0.613,17,12,2,18.62,1886.2,3064.5,71.63,44,1
1599,58,76,126,4,3,20,36,18,0.529,14,2,4,48.29,855.84,4053.22,37.06,15,0
2223,14,94,28,9,0,7,42,18,0.133,8,19,5,70.56,924.61,902.83,15.25,31,0
1410,37,5,188,4,53,31,35,19,0.35,8,12,7,26.64,540.73,2505.55,13.96,15,0
1762,79,98,197,3,41,30,36,1,0.114,0,22,3,78.5,34.35,2849.11,81.26,18,0
1945,68,22,23,5,33,33,48,28,0.685,6,22,1,84.89,254.67,1970.34,65.33,36,1
639,40,77,150,7,26,22,36,28,0.087,11,18,2,33.95,1451.04,1273.63,72.8,42,0
1294,59,57,9,5,20,24,25,20,0.523,9,15,7,65.05,1407.91,4524.83,48.83,20,0
976,16,47,181,4,23,6,20,2,0.486,18,3,6,12.0,682.22,434.44,45.73,14,0
1959,62,54,104,8,14,18,45,9,0.378,15,2,5,70.94,985.58,778.4,21.12,25,1
3973,4,3,168,4,34,6,17,4,0.223,5,14,4,16.51,631.51,1609.35,16.83,29,0
2401,45,53,176,2,24,7,23,11,0.323,10,14,10,65.62,1505.53,4599.65,15.39,39,1
988,28,84,144,10,54,13,25,28,0.645,18,17,4,40.66,1730.48,2825.41,99.18,14,0
1336,66,31,183,6,8,0,48,6,0.609,18,21,0,88.27,1844.6,1872.14,82.09,42,1
1063,31,69,172,2,16,12,49,8,0.591,17,6,13,44.66,382.52,2019.36,62.61,12,0
301,3,88,157,3,20,2,31,1,0.6,14,19,5,3.9,1433.15,4190.51,21.44,26,0
2864,8,33,171,1,59,27,6,24,0.115,15,4,12,46.18,1973.42,143.63,33.77,22,0
1078,24,72,54,5,12,37,35,9,0.079,13,7,8,75.78,1343.63,66.58,35.08,33,0
4313,15,88,146,9,2,14,4,5,0.689,7,24,7,61.83,739.56,239.96,47.77,33,0
2552,43,50,156,2,3,35,40,11,0.67,7,22,11,91.83,1314.07,2351.33,42.2,22,0
3848,31,84,1,7,3,2,20,5,0.545,1,9,9,80.27,1419.87,2910.43,93.42,43,0
1028,73,16,163,5,42,3,41,26,0.485,5,0,14,50.5,832.45,3126.1,72.08,19,1
1249,45,76,146,2,27,4,1,2,0.293,12,10,0,20.41,241.65,3658.37,8.14,8,0
1055,66,77,134,8,6,25,45,29,0.179,12,2,10,1.35,1255.03,956.72,36.0,19,0
4605,8,39,153,11,25,24,26,9,0.534,11,20,12,93.17,1649.12,1318.8,13.3,46,1
295,71,89,110,6,10,9,34,28,0.73,1,2,5,89.2,2043.11,1225.1,27.94,38,1
2760,57,46,37,4,23,7,10,8,0.35,19,14,2,26.77,481.69,754.37,95.89,13,0
2309,30,96,130,4,42,11,23,19,0.243,11,16,5,60.99,1443.98,1229.53,70.53,48,0
1259,74,88,101,2,9,2,49,4,0.217,16,17,8,69.55,88.54,3072.13,0.79,25,1
145,18,47,193,3,36,26,24,2,0.019,5,7,5,55.33,1987.17,1838.39,32.89,26,0
4085,69,44,94,7,12,22,13,4,0.416,6,22,14,80.24,57.33,3841.88,43.87,33,1
4332,39,9,91,3,43,39,29,7,0.791,5,12,7,8.32,755.33,2686.73,60.25,28,0
3888,60,87,70,5,41,32,46,7,0.652,3,9,13,85.27,186.03,1068.08,49.97,31,0
1228,43,50,170,10,38,13,27,13,0.718,8,2,14,37.85,1283.87,2342.24,6.98,40,1
3269,45,77,189,6,18,22,31,23,0.497,4,19,5,46.18,716.43,2970.91,51.55,44,0
938,23,60,198,6,50,30,43,21,0.385,9,13,5,42.8,1509.61,4332.31,13.03,4,0
3943,69,96,23,4,18,12,10,16,0.792,14,12,14,50.94,1012.54,4170.25,51.92,3,0
4423,6,15,166,6,11,11,31,10,0.358,7,2,6,57.23,877.52,2138.13,24.61,22,0
1989,56,36,67,3,51,34,39,25,0.733,3,12,10,67.77,734.61,3241.9,14.42,20,1
2813,4,63,127,7,21,17,10,15,0.609,4,19,12,50.34,205.64,1496.05,28.79,32,0
911,23,69,92,7,46,20,24,27,0.265,6,23,9,65.37,444.93,3168.69,9.96,40,0
4490,6,86,43,4,36,0,33,5,0.402,5,24,10,32.8,1320.43,4564.83,28.4,23,0
2053,32,80,132,2,55,37,14,27,0.307,12,22,3,89.05,1033.45,3126.47,86.69,15,0
1384,18,41,54,11,29,8,35,10,0.109,18,8,12,7.07,173.3,1525.82,30.72,31,0
148,15,74,157,7,45,22,45,9,0.285,9,24,12,52.28,1128.61,3223.48,47.02,18,0
1034,40,24,28,3,11,13,34,22,0.711,14,15,7,9.22,141.15,4514.75,51.98,25,0
1819,73,82,153,1,28,10,17,29,0.602,2,22,14,42.62,1063.64,693.86,17.83,2,0
4632,74,49,153,2,20,6,21,8,0.222,17,22,3,25.21,1977.36,2417.41,44.18,34,1
1538,6,18,36,10,10,30,32,27,0.294,13,7,14,89.07,651.61,1612.04,85.3,38,0
4201,63,7,114,9,59,23,3,23,0.493,2,11,6,2.23,1490.58,1214.92,8.05,17,1
1218,67,4,180,8,36,25,15,26,0.333,10,11,0,37.77,1535.03,1987.08,92.28,6,1
3893,11,90,157,6,47,29,8,27,0.402,9,18,11,74.51,848.2,1975.9,87.11,31,0
2494,43,69,2,6,57,33,32,23,0.559,16,23,8,18.72,1228.08,1060.06,85.58,23,0
3505,17,60,121,1,17,37,38,14,0.374,12,16,9,77.67,983.64,2024.09,19.85,15,0
4069,4,55,42,2,43,4,26,6,0.153,1,14,8,81.81,603.26,3172.32,48.43,23,0
3739,63,16,6,4,58,4,30,17,0.416,12,21,6,67.55,1553.56,138.4,61.62,3,1
322,68,99,124,3,26,18,9,0,0.285,18,17,7,20.65,1448.9,4946.23,9.99,44,1
3972,41,90,48,1,36,37,32,14,0.233,4,6,1,26.57,1847.51,1486.76,55.68,31,0
4703,5,82,120,8,47,27,11,1,0.262,15,12,9,16.69,1278.14,3121.99,84.0,41,0
1006,32,29,72,7,11,25,22,21,0.351,9,18,13,18.3,815.66,1424.91,93.66,33,0
1883,70,23,40,4,22,22,34,28,0.709,11,15,13,4.43,1471.44,1973.74,27.83,18,1
4460,35,14,105,9,33,29,41,1,0.587,19,10,11,81.59,1279.98,2750.7,28.87,13,1
4929,22,79,76,11,37,2,18,9,0.534,12,4,14,50.68,1275.09,3063.14,27.07,37,0
3092,65,49,181,4,22,27,19,19,0.377,15,1,9,31.81,1745.27,3854.59,15.35,12,1
3144,22,33,126,1,52,32,18,14,0.001,0,0,6,28.22,1867.5,3960.5,43.07,21,0
1347,11,25,196,10,24,2,37,9,0.272,8,15,0,52.2,395.37,2598.33,78.45,30,0
2428,77,21,90,1,3,4,18,18,0.651,15,4,2,31.71,665.13,387.87,71.21,43,1
3693,3,17,154,1,29,18,12,21,0.311,18,24,5,82.19,1343.02,2793.34,90.03,43,0
3311,9,23,7,1,29,0,4,27,0.451,14,24,4,20.83,1155.36,2393.13,35.57,29,0
4053,60,57,31,4,12,37,47,27,0.164,17,6,4,83.94,1347.09,1084.78,57.22,22,1
723,76,81,63,1,41,8,43,12,0.733,11,8,8,63.42,904.96,60.71,76.65,11,0
594,14,58,137,2,48,4,27,29,0.739,13,3,5,90.92,863.48,1586.67,89.82,42,0
3252,18,14,12,4,13,33,5,23,0.117,2,18,2,2.42,269.19,1304.85,87.18,13,0
4803,73,93,190,7,55,36,6,10,0.579,3,19,14,6.55,1289.27,2419.72,46.55,35,1
2652,23,20,92,2,46,32,13,21,0.06,5,14,1,48.08,386.38,3810.39,90.69,44,0
3848,74,30,162,8,7,24,23,1,0.479,15,6,13,86.76,1384.78,2200.81,44.41,7,1
3250,47,19,60,7,54,28,42,20,0.143,12,23,8,69.69,1981.62,4758.33,90.28,23,1
508,69,53,181,9,23,24,25,26,0.117,11,17,14,59.48,548.93,1114.35,77.7,2,0
1367,47,56,7,6,17,8,46,12,0.003,11,4,9,3.97,318.58,1112.55,22.16,13,0
3701,30,77,28,4,34,2,4,21,0.753,1,20,13,34.29,80.74,3026.2,92.97,49,0
3193,25,82,94,6,24,14,32,24,0.663,12,24,3,33.51,795.72,4482.35,24.25,10,0
4609,28,23,40,4,16,3,44,21,0.062,2,12,10,51.96,464.66,3362.57,90.84,44,0
1687,25,62,157,7,31,37,15,25,0.48,12,2,4,25.24,1023.59,3371.65,61.51,37,0
1657,74,33,148,9,55,19,26,20,0.186,1,5,8,26.11,1089.0,4033.37,66.74,27,1
4134,78,18,10,3,23,22,42,0,0.211,18,11,4,59.36,736.24,3346.71,10.93,22,1
3573,58,73,1,3,6,36,11,25,0.699,8,20,6,89.79,1543.81,3799.15,6.57,17,1
1020,41,33,177,2,12,7,9,4,0.091,19,17,1,63.06,1856.09,4331.98,96.83,19,0
870,25,32,168,1,26,36,11,20,0.481,0,17,1,63.8,458.43,49.47,33.69,32,0
1408,78,61,193,1,47,32,2,21,0.321,12,3,3,93.7,1717.98,4429.26,84.44,1,0
3732,48,54,130,3,4,32,45,6,0.153,1,19,7,15.43,296.47,1084.17,70.45,38,0
